Parameter,Value
Input Neurons,784
Hidden Neurons,[5]
Output Neurons,10
Epochs,30
Mini Batch Size,10
Learning Rate,0.01
Accuracy,983 / 10000

Epoch,Cost,Accuracy
1,0.09195254401601118,1044
2,0.0925113506372409,1086
3,0.09162123016015448,1016
4,0.09166618027663982,994
5,0.0914046981162161,994
6,0.0914106865173192,963
7,0.09144933382364183,986
8,0.09143609969645745,989
9,0.0913507037349876,976
10,0.09148733807035318,1018
11,0.09131201873578486,984
12,0.09154081465076047,1054
13,0.09129881878557931,987
14,0.09141523834918287,1002
15,0.09133576994313851,1022
16,0.09154102820467211,972
17,0.09174254280890609,958
18,0.09140444930872323,986
19,0.09127689985882953,993
20,0.09134485622019639,989
21,0.09124521594871074,990
22,0.09124766054110758,979
23,0.09144814020006557,1025
24,0.09145229496455431,1034
25,0.09128209399421862,1013
26,0.09122275396704231,1011
27,0.09140733147085335,965
28,0.09119536126209003,990
29,0.09120684904452284,986
30,0.09126389377533062,983

Input Neurons,784
Hidden Neurons,[5]
Output Neurons,10
Epochs,30
Mini Batch Size,10
Learning Rate,0.01
Accuracy,2627 / 10000

Epoch,Cost,Accuracy
1,0.08247229035158582,2445
2,0.08016002564812084,2731
3,0.07769336594457592,2760
4,0.11487312548967851,2981
5,0.09274071789333817,3328
6,0.08408698969659413,1952
7,0.0828481645942105,2154
8,0.08260156154666555,2931
9,0.08145681487371113,2267
10,0.08185485786127897,2256
11,0.0794700120870009,2572
12,0.08324351634473925,2687
13,0.07987762503422069,2472
14,0.07900955166959293,2730
15,0.0807758423820063,2333
16,0.1247199207281359,2988
17,0.08120145198300946,2304
18,0.08015595790532612,2690
19,0.08314660358970581,2520
20,0.08242241721048384,2527
21,0.08221649172781594,2137
22,0.08368401178193928,2373
23,0.10660285002671563,2525
24,0.08157484587471076,2197
25,0.08167122630081042,2118
26,0.08597755472184868,2154
27,0.08088003402942319,2589
28,0.08212322008068226,2476
29,0.08001237123429558,2380
30,0.07876015973611311,2627

Input Neurons,784
Hidden Neurons,[5]
Output Neurons,10
Epochs,30
Mini Batch Size,10
Learning Rate,0.1
Accuracy,1135 / 10000

Epoch,Cost,Accuracy
1,0.09519044658022649,974
2,0.09507588201376009,974
3,0.09508398236711324,1135
4,0.0950280509451566,1135
5,0.09522719678248741,1135
6,0.09526436415981743,1135
7,0.09525734196086609,892
8,0.09526664238916056,974
9,0.09509209463222071,1135
10,0.0950263196133587,1135
11,0.0951673211664104,974
12,0.09540961047463192,1032
13,0.09513203869676379,1135
14,0.09516033940760966,974
15,0.09514593853831174,892
16,0.09524638571734353,1135
17,0.09515421061095812,1135
18,0.09549883197349615,958
19,0.09530307125192476,974
20,0.09520492188705287,1135
21,0.09521423064749857,1135
22,0.09539639742891917,892
23,0.09508281309087264,1135
24,0.09523019741833447,974
25,0.09522515355851108,958
26,0.09573374107398104,958
27,0.09521784384398685,958
28,0.09530071729819742,1135
29,0.09521964602071412,1032
30,0.09515023362002842,1135

Input Neurons,784
Hidden Neurons,[5]
Output Neurons,10
Epochs,30
Mini Batch Size,100
Learning Rate,0.01
Accuracy,2648 / 10000

Epoch,Cost,Accuracy
1,0.09426240082773184,1141
2,0.08989181065976794,1879
3,0.08659815346936778,1870
4,0.08165046717155318,2569
5,0.07802599726543248,2669
6,0.07847930641087937,2668
7,0.08085344064261057,2712
8,0.07706334210289227,2668
9,0.07734538943489074,2631
10,0.07675150663772419,2698
11,0.09064943163962814,2675
12,0.07717648341750545,2701
13,0.07738124573685164,2687
14,0.08387969794085404,2401
15,0.07662903755374187,2678
16,0.07947924355835223,2594
17,0.07623833462717966,2672
18,0.07795426975620483,2593
19,0.07672763841799075,2712
20,0.07631470128621419,2684
21,0.08214107300648323,2442
22,0.08379380160081075,2239
23,0.07757805010084623,2664
24,0.07977304578694987,2519
25,0.07647358896757593,2683
26,0.08365593648690182,2639
27,0.0800485558240182,2444
28,0.07694817631833852,2682
29,0.08061229445600644,2381
30,0.08137107328895468,2648

Input Neurons,784
Hidden Neurons,[5]
Output Neurons,10
Epochs,30
Mini Batch Size,100
Learning Rate,0.01
Accuracy,2445 / 10000

Epoch,Cost,Accuracy
1,0.09489105476201777,2242
2,0.08810785287302059,2615
3,0.08703124309857642,2564
4,0.08601914092661185,2633
5,0.08567162157407147,2591
6,0.08553523620505499,2621
7,0.0854570637991223,2602
8,0.08538658622091991,2624
9,0.08546410137057599,2612
10,0.08695174100528807,2527
11,0.08574258772695846,2611
12,0.08698904696129972,2609
13,0.0868515134374746,2558
14,0.0871484219012358,2643
15,0.08569638025291455,2591
16,0.08563176488553768,2583
17,0.08626340025897974,2540
18,0.08670905822070361,2596
19,0.0858762510310253,2585
20,0.08695984751175867,2504
21,0.0855947576661068,2579
22,0.0867456975333749,2508
23,0.08656872444093386,2503
24,0.08649534106815901,2591
25,0.08755611972266862,2433
26,0.08857200436972071,2857
27,0.08803402073158838,2589
28,0.08751867661306904,2550
29,0.08784878537643687,2529
30,0.08800772569128104,2445

